City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Homer,US,2022-09-27 18:40:36,59.6425,-151.5483,47.77,86,0,6.91
228,Dublin,US,2022-09-27 18:41:36,37.7021,-121.9358,74.03,64,0,5.75
229,Chifeng,CN,2022-09-27 18:37:50,42.2683,118.9636,61.11,45,1,6.91
230,Atyrau,KZ,2022-09-27 18:41:36,47.1167,51.8833,57.22,67,0,6.71
231,Avera,US,2022-09-27 18:41:37,33.194,-82.5271,80.55,20,16,7.14
232,Matagami,CA,2022-09-27 18:41:37,49.7502,-77.6328,53.71,76,100,18.41
233,Hansot,IN,2022-09-27 18:41:37,21.5833,72.8,80.47,75,4,5.26
234,Charters Towers,AU,2022-09-27 18:41:38,-20.1,146.2667,67.14,88,100,5.57
235,Wanaka,NZ,2022-09-27 18:41:38,-44.7,169.15,46.11,86,87,2.73
236,Pag,HR,2022-09-27 18:41:38,44.445,15.0575,61.38,81,98,6.71
237,Ipixuna,BR,2022-09-27 18:41:39,-1.7625,-48.8043,87.98,55,100,4.5
238,Boksitogorsk,RU,2022-09-27 18:41:39,59.474,33.8485,43.61,96,91,4.18
239,High Level,CA,2022-09-27 18:41:39,58.5169,-117.136,66.31,63,20,5.75
240,Markova,UA,2022-09-27 18:41:40,48.6758,24.4138,49.78,92,75,4.14
241,Tolentino,IT,2022-09-27 18:41:40,43.2126,13.2901,67.48,63,8,5.26
242,Baruun-Urt,MN,2022-09-27 18:41:41,46.6806,113.2792,46.63,58,0,10.02
243,Christchurch,NZ,2022-09-27 18:41:41,-43.5333,172.6333,51.91,89,97,3.44
244,Soure,BR,2022-09-27 18:41:41,-0.7167,-48.5233,84.51,66,98,12.62
245,Winnemucca,US,2022-09-27 18:38:49,40.973,-117.7357,80.65,14,0,4.61
246,Emilio Carranza,MX,2022-09-27 18:41:42,19.9711,-96.6114,84.81,60,4,17.87
247,Sinnamary,GF,2022-09-27 18:41:42,5.3833,-52.95,84.83,66,48,14.07
248,Ostrovnoy,RU,2022-09-27 18:41:42,68.0531,39.5131,38.57,83,100,9.98
249,Sembakung,ID,2022-09-27 18:41:43,3.8167,117.25,72.75,96,100,1.99
250,Wanning,CN,2022-09-27 18:41:43,18.8003,110.3967,79.84,89,100,18.95
251,Zhigalovo,RU,2022-09-27 18:41:44,54.8097,105.1578,27.19,90,38,4.29
252,Lexington Park,US,2022-09-27 18:41:44,38.2668,-76.4538,74.86,34,40,10.36
253,Farah,AF,2022-09-27 18:41:45,32.5,62.5,71.89,16,0,3.38
254,San Patricio,US,2022-09-27 18:41:45,28.017,-97.5169,89.55,24,5,11.61
255,Bogovarovo,RU,2022-09-27 18:41:45,58.9785,47.0246,39.04,92,100,7.43
256,Natchez,US,2022-09-27 18:41:46,31.5604,-91.4032,80.04,26,0,12.66
257,Rayagada,IN,2022-09-27 18:41:46,19.1667,83.4167,75.52,96,53,0.58
258,Vao,NC,2022-09-27 18:41:46,-22.6667,167.4833,73.89,79,3,12.55
259,Port Augusta,AU,2022-09-27 18:41:46,-32.5,137.7667,48.0,91,32,8.21
260,Bara,NG,2022-09-27 18:41:47,10.3744,10.7288,74.01,87,74,2.71
